,timekeeper,Elapsed time (s),Phone-Accel-Z,Phone-Accel-Y,Phone-Accel-X,Watch-Accel-Z,Watch-Accel-Y,Watch-Accel-X,Phone-Gyro-Z,Phone-Gyro-Y,Phone-Gyro-X,Watch-Gyro-Z,Watch-Gyro-Y,Watch-Gyro-X,Phone-Mag-Z,Phone-Mag-Y,Phone-Mag-X,Watch-Mag-Z,Watch-Mag-Y,Watch-Mag-X
6977,6975.0,67.19,0.07023620605,0.3632659912,-0.8372802734,-0.9620056152,-0.2449493408,0.04678344727,-0.7224660516,-0.03087828681,1.517332077,0.0417839326,0.0530776009,0.01302845031,-300.7536621,-36.44445801,-111.1664734,-60.2512207,56.97467041,174.2166138
6978,6976.0,67.2,0.06596374512,0.340423584,-0.8369903564,-0.954788208,-0.2409667969,0.04756164551,-0.7130650878,0.02251516283,1.515099525,0.04445561394,0.04626150429,0.005395297892,-299.8991089,-36.00318909,-110.8613892,-60.6700592,57.00088501,174.3625793
6979,6977.0,67.21,0.05313110352,0.3194580078,-0.8397369385,-0.9535675049,-0.2388458252,0.05149841309,-0.7000105381,0.08341925591,1.511245131,0.04569505155,0.03306367621,-0.002637061989,-299.5305176,-35.67416382,-111.2247467,-60.75798035,56.74971008,174.2105103
6980,6978.0,67.22,0.04747009277,0.3112182617,-0.8435211182,-0.9591827393,-0.2383575439,0.05520629883,-0.6541924477,0.1576215774,1.487057686,0.05389438942,0.02744254284,-0.0055550877,-298.6012878,-35.82402039,-111.4223633,-60.9526062,57.01298523,174.3995056
6981,6979.0,67.23,0.04081726074,0.3069763184,-0.8497467041,-0.9614257813,-0.2315826416,0.05700683594,-0.5632439256,0.2279538065,1.453220367,0.06775161624,0.02999385074,0.003422694514,-298.1453857,-35.68302917,-111.5638733,-60.91305542,56.87121582,174.2020721
6982,6980.0,67.24,0.02627563477,0.2927856445,-0.8392944336,-0.9602355957,-0.2294158936,0.05731201172,-0.4583798349,0.2933929861,1.411061525,0.07892996818,0.02475381643,0.007093329448,-298.1054993,-35.09107971,-111.7952881,-60.80039978,56.85649109,174.257309
6983,6981.0,67.25,0.01438903809,0.2686462402,-0.8133850098,-0.9577484131,-0.2314605713,0.05880737305,-0.379540652,0.3454897404,1.381274581,0.08495004475,0.02554371022,0.009222527035,-296.7518921,-35.24554443,-111.5976868,-60.83848572,56.73503113,174.3221893
6984,6982.0,67.26,0.01638793945,0.2585906982,-0.7852935791,-0.9550476074,-0.231338501,0.05895996094,-0.3520568311,0.3892502785,1.357481599,0.09670630097,0.0200767722,0.003322027158,-296.5308228,-34.87934875,-111.3885193,-60.9415741,56.9324646,174.449585
6985,6983.0,67.27,0.02577209473,0.2445678711,-0.7713165283,-0.9532775879,-0.2324981689,0.05639648438,-0.3241511881,0.4163146615,1.353604555,0.1040558293,0.01413126569,-0.005328186322,-295.9528809,-34.80851746,-111.2811127,-61.14300537,56.89750671,174.3695221
6986,6984.0,67.28,0.0142364502,0.2218017578,-0.770324707,-0.9586029053,-0.2311096191,0.05187988281,-0.2738504708,0.4213016927,1.341256618,0.1148882359,0.01440530457,-0.01264495496,-295.0565796,-34.98832703,-111.3036194,-60.71533203,56.9072876,174.2700958
6987,6985.0,67.29,0.009429931641,0.198928833,-0.777557373,-0.9617767334,-0.2316894531,0.04949951172,-0.1919412017,0.4017868638,1.311150312,0.1238516346,0.01966318302,-0.01671479829,-294.8657227,-34.43635559,-111.3675232,-60.99087524,56.94277954,174.2964478
6988,6986.0,67.3,-0.001983642578,0.1829833984,-0.7905883789,-0.9645385742,-0.2334136963,0.04663085938,-0.08622782677,0.3749208748,1.253755569,0.1288312227,0.02521720529,-0.01516883262,-294.0296021,-34.6802063,-111.1014862,-61.05229187,56.87283325,174.1186829
6989,6987.0,67.31,-0.01281738281,0.174331665,-0.8068389893,-0.9632415771,-0.2352752686,0.04132080078,0.03289110586,0.3404292166,1.182250142,0.1255448759,0.02471786365,-0.01029578038,-293.3267212,-34.45158386,-111.5984039,-60.89390564,56.97213745,174.1074982
6990,6988.0,67.32,-0.01042175293,0.1763916016,-0.8108825684,-0.9629211426,-0.2411804199,0.04135131836,0.1434447765,0.3197878599,1.121371388,0.1193232015,0.02131540887,-0.009254750796,-292.6793518,-34.26655579,-111.3426056,-60.99636841,57.01298523,174.1560516
6991,6989.0,67.33,-0.004898071289,0.1761322021,-0.8059997559,-0.9638977051,-0.2448425293,0.03977966309,0.2315234989,0.3185676038,1.073316455,0.1115867123,0.01365935337,-0.0113748936,-291.8292847,-34.34417725,-111.1216278,-60.80241394,57.15376282,174.1168671
6992,6990.0,67.34,-0.01722717285,0.1647338867,-0.8062286377,-0.9657440186,-0.248916626,0.0415802002,0.2922244072,0.303424865,1.046347737,0.1112639382,0.01290434692,-0.009620669298,-291.6678772,-34.41012573,-111.4706879,-60.79902649,57.1341095,174.0798798
6993,6991.0,67.35,-0.05458068848,0.1643218994,-0.8118591309,-0.966293335,-0.2487335205,0.04290771484,0.3285946548,0.2353565991,1.012356997,0.1054582521,0.006657902617,-0.007066697814,-291.3000183,-34.40202332,-111.3614349,-60.90107727,57.11201477,174.0835876
6994,6992.0,67.36,-0.08081054688,0.1786193848,-0.8170776367,-0.9666900635,-0.2474975586,0.03770446777,0.3540893793,0.1560263485,0.9403416514,0.09911353141,-0.01539307088,-0.007895473391,-290.6182861,-33.86000061,-111.7284546,-60.60816956,57.04248047,174.1397858
6995,6993.0,67.37,-0.09342956543,0.1865692139,-0.8236541748,-0.9737091064,-0.2470550537,0.03623962402,0.388884902,0.1368702352,0.8570930958,0.09690870345,-0.018656509,-0.01124573033,-290.0175781,-34.47546387,-111.2771912,-60.89790344,57.15100098,173.9845428
6996,6994.0,67.38,-0.09202575684,0.1985473633,-0.8299255371,-0.9809875488,-0.2463226318,0.03340148926,0.4364233911,0.1951021105,0.799092114,0.09765838087,-0.01313977037,-0.006139917765,-290.2924194,-34.06040955,-111.4538422,-60.77604675,57.09359741,174.0198975
